"s37rep1_sum"	"s37rep2_sum"	"s37rep3_sum"	"s32rep1_sum"	"s32rep2_sum"	"s32rep3_sum"
"ENSG00000170748"	0	1	0	0	0	0
"ENSG00000170759"	456	418	266	235	337	268
"ENSG00000170775"	8	17	8	12	12	2
"ENSG00000170776"	284	216	257	200	170	95
"ENSG00000170779"	422	412	261	346	428	203
"ENSG00000170782"	3	0	1	0	0	0
"ENSG00000170786"	0	1	6	6	2	1
"ENSG00000170790"	1	0	0	0	1	2
"ENSG00000170791"	15348	18631	8781	13555	14853	10256
"ENSG00000170801"	9	11	3	15	0	4
"ENSG00000170802"	86	59	75	43	59	37
"ENSG00000170827"	5	0	2	0	0	1
"ENSG00000170832"	151	137	153	134	153	97
"ENSG00000170835"	6	7	3	0	0	0
"ENSG00000170836"	721	674	286	476	553	232
"ENSG00000170837"	49	74	69	56	53	59
"ENSG00000170846"	423	542	379	370	565	426
"ENSG00000170852"	91	110	88	86	91	82
"ENSG00000170854"	1114	1198	1010	693	713	685
"ENSG00000170855"	2646	2803	1095	2188	2067	1267
"ENSG00000170860"	6912	8171	3951	6356	6980	6699
"ENSG00000170871"	93	90	61	70	63	71
"ENSG00000170873"	71	26	63	60	20	14
"ENSG00000170876"	777	666	502	361	374	251
"ENSG00000170881"	109	106	102	116	154	107
"ENSG00000170889"	22341	17247	15536	22556	13847	7086
"ENSG00000170890"	2	2	4	0	3	0
"ENSG00000170892"	1119	1046	648	843	667	250
"ENSG00000170893"	0	2	2	4	0	0
"ENSG00000170899"	897	803	730	767	802	843
"ENSG00000170903"	210	165	108	114	93	51
"ENSG00000170906"	11431	14780	9971	9886	11193	11796
"ENSG00000170909"	1	0	0	1	1	1
"ENSG00000170915"	33	17	44	10	26	34
"ENSG00000170917"	198	209	244	132	103	199
"ENSG00000170921"	223	110	196	72	120	130
"ENSG00000170923"	1	5	1	2	1	0
"ENSG00000170925"	0	0	0	0	3	0
"ENSG00000170929"	6	0	1	2	3	1
"ENSG00000170935"	13	0	4	6	4	0
"ENSG00000170946"	412	465	328	313	371	273
"ENSG00000170949"	85	69	34	20	35	37
"ENSG00000170954"	0	0	0	0	1	0
"ENSG00000170956"	0	0	0	0	0	1
"ENSG00000170959"	17	13	28	11	15	13
"ENSG00000170961"	59	55	38	32	54	44
"ENSG00000170962"	8	3	13	10	1	0
"ENSG00000170965"	309	262	449	306	274	401
"ENSG00000170989"	19	28	33	19	15	15
"ENSG00000171004"	1230	1052	956	726	849	700
"ENSG00000171016"	116	97	131	64	69	65
"ENSG00000171017"	62	62	55	74	50	48
"ENSG00000171033"	155	109	76	113	52	73
"ENSG00000171044"	17	15	26	2	10	13
"ENSG00000171045"	32	18	3	29	36	6
"ENSG00000171051"	0	0	0	1	1	0
"ENSG00000171054"	0	0	2	0	0	0
"ENSG00000171055"	348	406	397	184	324	368
"ENSG00000171056"	9	5	7	8	10	4
"ENSG00000171060"	0	0	0	0	11	0
"ENSG00000171067"	413	323	291	328	263	203
"ENSG00000171084"	10	7	1	3	3	8
"ENSG00000171097"	106	230	154	41	65	153
"ENSG00000171100"	223	200	129	88	163	71
"ENSG00000171103"	478	517	423	264	390	255
"ENSG00000171105"	163	176	131	116	108	85
"ENSG00000171109"	325	307	162	157	263	147
"ENSG00000171116"	3	2	1	0	4	1
"ENSG00000171119"	14	2	7	1	3	1
"ENSG00000171121"	7	20	9	4	5	14
"ENSG00000171124"	1	0	1	0	0	8
"ENSG00000171126"	43	14	58	22	38	40
"ENSG00000171130"	1080	406	353	1221	424	206
"ENSG00000171132"	24	18	36	19	5	4
"ENSG00000171135"	1870	1843	1525	1749	1481	1209
"ENSG00000171148"	326	366	350	288	238	186
"ENSG00000171150"	73	67	51	41	50	31
"ENSG00000171155"	657	698	465	454	576	548
"ENSG00000171159"	407	197	230	523	226	53
"ENSG00000171160"	160	164	221	121	121	182
"ENSG00000171161"	34	43	16	16	32	7
"ENSG00000171163"	273	282	204	185	128	163
"ENSG00000171169"	41	63	34	35	31	33
"ENSG00000171174"	36	33	76	30	60	44
"ENSG00000171180"	59	26	36	20	17	20
"ENSG00000171189"	31	39	9	29	1	6
"ENSG00000171202"	989	1071	909	815	892	924
"ENSG00000171204"	6921	6807	3192	3549	3641	2956
"ENSG00000171206"	278	303	221	226	316	153
"ENSG00000171208"	274	278	114	145	168	92
"ENSG00000171217"	8	2	13	5	1	4
"ENSG00000171219"	4	5	1	1	5	3
"ENSG00000171222"	803	259	292	417	517	161
"ENSG00000171223"	21	13	7	5	0	13
"ENSG00000171224"	149	101	132	205	144	61
"ENSG00000171227"	38	28	28	31	34	7
"ENSG00000171236"	1	1	1	2	2	5
"ENSG00000171241"	177	203	78	127	150	65
"ENSG00000171243"	72	97	42	40	60	72
"ENSG00000171246"	69	136	71	40	62	30
"ENSG00000171262"	164	195	89	156	121	162
"ENSG00000171291"	7	7	8	3	4	7
"ENSG00000171295"	84	50	46	54	76	27
"ENSG00000171298"	240	174	146	191	105	81
"ENSG00000171302"	293	371	189	190	277	132
"ENSG00000171303"	0	0	1	0	0	0
"ENSG00000171307"	1409	1337	672	880	883	650
"ENSG00000171310"	49	49	66	25	60	27
"ENSG00000171311"	1410	1532	1445	1419	1453	1585
"ENSG00000171314"	7145	6768	3154	6114	5929	2722
"ENSG00000171316"	701	590	549	536	474	284
"ENSG00000171320"	710	507	407	686	544	335
"ENSG00000171345"	2	6	0	4	0	0
"ENSG00000171346"	0	0	3	0	1	0
"ENSG00000171357"	48	31	46	22	40	15
"ENSG00000171365"	171	97	151	89	61	77
"ENSG00000171368"	6	24	22	4	8	8
"ENSG00000171385"	10	0	0	0	2	0
"ENSG00000171388"	0	0	1	11	1	0
"ENSG00000171405"	0	1	1	0	0	0
"ENSG00000171408"	0	0	0	3	0	3
"ENSG00000171421"	14694	16634	9626	12107	13221	8568
"ENSG00000171425"	616	527	690	638	305	307
"ENSG00000171428"	105	132	80	134	113	80
"ENSG00000171431"	0	0	0	1	0	1
"ENSG00000171435"	20	3	5	3	5	2
"ENSG00000171443"	13	23	28	24	6	3
"ENSG00000171444"	132	136	130	103	107	89
"ENSG00000171446"	0	2	2	0	0	0
"ENSG00000171448"	63	51	54	30	26	18
"ENSG00000171450"	0	0	0	0	3	0
"ENSG00000171451"	46	22	20	34	26	12
"ENSG00000171453"	3025	2935	1669	2349	2408	1530
"ENSG00000171456"	614	781	553	677	550	518
"ENSG00000171462"	224	118	118	74	76	5
"ENSG00000171466"	399	327	333	221	209	200
"ENSG00000171467"	80	91	91	59	72	59
"ENSG00000171469"	278	310	269	170	215	210
"ENSG00000171475"	218	224	154	93	87	90
"ENSG00000171476"	298	275	339	278	379	266
"ENSG00000171478"	2	2	0	1	3	0
"ENSG00000171488"	86	65	36	49	63	30
"ENSG00000171489"	3	2	0	1	3	0
"ENSG00000171490"	5907	5594	4385	4818	4625	4040
"ENSG00000171492"	215	190	284	107	121	117
"ENSG00000171495"	10	0	0	0	0	0
"ENSG00000171497"	852	805	456	419	424	374
"ENSG00000171502"	11	7	15	16	22	33
"ENSG00000171503"	2338	1983	1430	1415	1277	931
"ENSG00000171517"	41	112	36	28	40	79
"ENSG00000171522"	4	0	0	2	0	0
"ENSG00000171530"	15585	18559	13979	12183	14176	14892
"ENSG00000171532"	1	0	10	0	0	0
"ENSG00000171533"	2	1	0	2	2	1
"ENSG00000171540"	0	0	0	1	0	0
"ENSG00000171551"	20	2	21	17	21	9
"ENSG00000171552"	273	221	264	307	260	103
"ENSG00000171557"	0	0	0	0	0	2
"ENSG00000171561"	885	539	447	331	329	212
"ENSG00000171564"	0	0	0	0	1	0
"ENSG00000171566"	1029	1113	862	787	846	732
"ENSG00000171570"	30	42	24	27	27	9
"ENSG00000171574"	362	307	266	380	334	170
"ENSG00000171596"	1	1	0	2	1	0
"ENSG00000171603"	520	511	409	329	493	306
"ENSG00000171604"	51	57	24	21	33	13
"ENSG00000171606"	911	881	990	585	644	807
"ENSG00000171608"	28	28	41	67	59	32
"ENSG00000171611"	0	0	0	0	1	0
"ENSG00000171612"	67	74	47	62	95	51
"ENSG00000171617"	57	131	88	19	9	0
"ENSG00000171621"	25	16	7	21	36	5
"ENSG00000171631"	30	13	11	18	13	8
"ENSG00000171634"	1502	1377	1303	908	798	745
"ENSG00000171643"	0	1	0	1	0	3
"ENSG00000171649"	24	8	14	2	12	26
"ENSG00000171657"	1	1	0	1	0	0
"ENSG00000171658"	1	0	2	0	0	0
"ENSG00000171659"	0	1	0	0	0	2
"ENSG00000171680"	16	30	33	36	27	25
"ENSG00000171681"	1023	812	669	381	523	441
"ENSG00000171695"	4	0	0	5	1	0
"ENSG00000171700"	124	90	73	118	76	46
"ENSG00000171703"	169	121	199	172	109	94
"ENSG00000171714"	190	132	192	137	127	126
"ENSG00000171720"	962	940	695	803	886	542
"ENSG00000171722"	5	1	2	3	0	0
"ENSG00000171723"	268	231	229	256	190	131
"ENSG00000171729"	76	58	24	21	35	26
"ENSG00000171735"	3010	3062	2358	2484	3051	2267
"ENSG00000171747"	0	1	2	2	0	0
"ENSG00000171757"	390	328	299	227	284	207
"ENSG00000171763"	98	122	53	37	57	33
"ENSG00000171766"	1	1	5	0	0	13
"ENSG00000171772"	1	0	0	0	0	0
"ENSG00000171773"	0	1	0	0	0	0
"ENSG00000171777"	1	5	0	1	0	0
"ENSG00000171786"	0	0	0	1	1	0
"ENSG00000171790"	36	7	10	26	21	1
"ENSG00000171791"	19	91	51	10	14	31
"ENSG00000171792"	951	1054	1007	901	915	770
"ENSG00000171793"	8932	6880	3631	8258	8276	3697
"ENSG00000171798"	4	3	5	8	4	6
"ENSG00000171806"	215	220	177	191	167	168
"ENSG00000171811"	6	1	0	0	2	0
"ENSG00000171812"	0	0	0	0	0	6
"ENSG00000171813"	10	13	3	11	3	10
"ENSG00000171815"	1	1	2	2	1	4
"ENSG00000171817"	59	29	18	17	26	13
"ENSG00000171819"	17	3	3	4	1	3
"ENSG00000171823"	18	5	10	6	8	4
"ENSG00000171824"	1661	1293	1045	1106	1123	720
"ENSG00000171827"	46	22	68	48	43	56
"ENSG00000171840"	0	0	1	2	0	0
"ENSG00000171843"	283	392	340	131	217	173
"ENSG00000171847"	0	2	3	4	13	6
"ENSG00000171848"	8758	8150	4267	4656	5693	2893
"ENSG00000171853"	183	329	166	156	140	95
"ENSG00000171858"	148284	190483	164969	120860	150007	167341
"ENSG00000171860"	3	0	3	0	0	0
"ENSG00000171861"	696	700	429	657	524	317
"ENSG00000171862"	793	719	520	390	707	415
"ENSG00000171863"	273697	326330	237225	218535	284095	271034
"ENSG00000171864"	1	0	0	0	0	0
"ENSG00000171865"	1045	1060	535	1053	982	516
"ENSG00000171867"	664	711	447	484	583	414
"ENSG00000171877"	112	113	90	81	94	77
"ENSG00000171885"	12	10	4	6	10	15
"ENSG00000171903"	0	1	0	0	0	1
"ENSG00000171914"	45	17	48	43	15	15
"ENSG00000171916"	1	0	0	0	3	0
"ENSG00000171928"	891	1051	543	658	779	561
"ENSG00000171931"	4	0	4	0	0	3
"ENSG00000171940"	200	194	199	73	81	101
"ENSG00000171943"	191	238	236	79	133	131
"ENSG00000171951"	1	0	1	1	2	0
"ENSG00000171953"	218	289	177	266	239	128
"ENSG00000171954"	5	4	5	3	0	1
"ENSG00000171956"	12	9	13	8	5	13
"ENSG00000171960"	8649	9839	6405	7964	7897	7281
"ENSG00000171962"	12	16	11	14	27	12
"ENSG00000171970"	143	157	96	115	135	73
"ENSG00000171984"	157	123	122	106	152	193
"ENSG00000171988"	338	364	407	247	260	336
"ENSG00000171992"	6	1	7	6	3	3
"ENSG00000172000"	8	8	11	9	11	7
"ENSG00000172005"	0	0	0	0	1	0
"ENSG00000172006"	53	32	30	40	26	30
"ENSG00000172007"	155	159	196	90	115	69
"ENSG00000172009"	390	354	222	319	425	227
"ENSG00000172014"	48	35	39	45	34	34
"ENSG00000172020"	98	76	98	84	75	122
"ENSG00000172031"	81	63	63	33	47	42
"ENSG00000172037"	101	54	95	69	59	57
"ENSG00000172046"	301	320	276	168	251	139
"ENSG00000172053"	3967	5161	4000	2826	3782	2866
"ENSG00000172057"	382	414	179	288	383	165
"ENSG00000172058"	2609	2513	1811	2268	2394	1813
"ENSG00000172059"	52	81	94	72	73	47
"ENSG00000172062"	2084	2302	1559	1743	1844	1458
"ENSG00000172071"	337	263	241	229	216	210
"ENSG00000172073"	3	1	0	0	0	2
"ENSG00000172081"	78	56	77	23	12	16
"ENSG00000172086"	91	60	158	22	16	49
"ENSG00000172113"	1748	1927	1416	1879	1977	1886
"ENSG00000172115"	17524	18130	6655	14448	15855	11469
"ENSG00000172116"	12	5	4	10	6	5
"ENSG00000172123"	21	14	27	7	21	14
"ENSG00000172137"	1	0	0	0	0	0
"ENSG00000172139"	5	0	0	4	1	1
"ENSG00000172146"	359	152	212	153	139	143
"ENSG00000172159"	7	4	2	3	0	4
"ENSG00000172164"	65	100	63	30	87	89
"ENSG00000172167"	168	165	89	149	140	79
"ENSG00000172171"	935	1065	644	551	624	610
"ENSG00000172172"	3871	4507	2683	3206	3679	3159
"ENSG00000172175"	102	73	68	45	61	41
"ENSG00000172183"	38	36	48	130	76	45
"ENSG00000172186"	1	0	0	0	0	0
"ENSG00000172197"	522	400	369	750	711	536
"ENSG00000172201"	269	357	426	181	256	319
"ENSG00000172209"	0	0	1	1	3	2
"ENSG00000172215"	9	7	0	6	2	2
"ENSG00000172216"	33	46	99	29	45	79
"ENSG00000172232"	0	0	4	0	0	0
"ENSG00000172238"	0	0	0	0	0	2
"ENSG00000172239"	1103	1015	830	777	685	629
"ENSG00000172243"	24	9	9	0	7	3
"ENSG00000172244"	295	284	249	139	164	173
"ENSG00000172247"	0	0	0	1	0	0
"ENSG00000172250"	73	61	66	64	89	66
"ENSG00000172260"	293	192	221	157	109	99
"ENSG00000172262"	566	558	416	337	464	380
"ENSG00000172264"	55	19	27	17	17	23
"ENSG00000172269"	1980	1817	1634	1239	1388	1266
"ENSG00000172270"	23142	19058	16346	19293	16570	7286
"ENSG00000172273"	265	304	207	138	197	114
"ENSG00000172292"	323	316	300	195	218	154
"ENSG00000172294"	0	2	0	1	0	0
"ENSG00000172296"	87	55	38	38	27	24
"ENSG00000172297"	0	1	1	3	3	0
"ENSG00000172301"	580	720	262	462	452	307
"ENSG00000172315"	528	346	319	245	258	113
"ENSG00000172318"	12	21	22	14	8	15
"ENSG00000172320"	223	136	135	98	82	82
"ENSG00000172324"	499	383	412	335	432	423
"ENSG00000172331"	1099	1146	442	893	917	466
"ENSG00000172336"	2360	2324	1545	2286	2212	893
"ENSG00000172339"	833	980	522	1022	1014	843
"ENSG00000172340"	634	557	509	479	606	378
"ENSG00000172342"	0	3	0	0	0	0
"ENSG00000172345"	79	61	76	70	62	39
"ENSG00000172346"	15	2	12	7	3	4
"ENSG00000172348"	20	17	48	29	10	41
"ENSG00000172349"	48	38	10	29	14	36
"ENSG00000172350"	8	1	17	2	2	6
"ENSG00000172354"	1098	935	679	744	768	502
"ENSG00000172361"	0	1	3	2	0	4
"ENSG00000172365"	8	3	4	3	2	2
"ENSG00000172366"	1112	575	318	614	365	108
"ENSG00000172367"	1	0	0	10	0	4
"ENSG00000172375"	140	104	127	60	72	42
"ENSG00000172379"	32	19	11	33	28	22
"ENSG00000172380"	327	300	328	262	239	246
"ENSG00000172382"	6	3	7	23	9	2
"ENSG00000172399"	0	1	0	1	0	0
"ENSG00000172403"	9	0	8	2	5	6
"ENSG00000172404"	7	2	1	2	3	6
"ENSG00000172409"	490	619	267	531	568	290
"ENSG00000172421"	38	40	10	29	15	15
"ENSG00000172425"	17	3	6	5	1	1
"ENSG00000172426"	219	293	194	117	170	159
"ENSG00000172428"	4181	3869	2165	3539	3517	2521
"ENSG00000172432"	322	386	605	303	489	397
"ENSG00000172456"	131	125	172	107	164	162
"ENSG00000172458"	52	77	50	35	43	37
"ENSG00000172461"	3	2	1	1	3	4
"ENSG00000172465"	917	976	715	918	1038	956
"ENSG00000172466"	570	560	365	302	369	237
"ENSG00000172469"	624	485	409	254	357	201
"ENSG00000172476"	52	47	30	18	23	15
"ENSG00000172478"	26	31	43	36	32	26
"ENSG00000172482"	1	0	4	0	0	0
"ENSG00000172493"	499	563	461	318	335	316
"ENSG00000172497"	0	0	0	0	1	3
"ENSG00000172500"	2484	2757	2569	2229	2338	2204
"ENSG00000172508"	0	1	0	1	0	0
"ENSG00000172519"	8	3	2	3	3	1
"ENSG00000172530"	203	249	146	100	187	110
"ENSG00000172531"	5116	4541	3649	4279	3955	983
"ENSG00000172534"	1327	1218	577	1246	1251	818
"ENSG00000172543"	1	12	0	1	0	0
"ENSG00000172551"	64	42	50	36	37	30
"ENSG00000172554"	2	0	3	2	0	0
"ENSG00000172568"	6	0	1	0	1	0
"ENSG00000172572"	10	11	6	4	9	3
"ENSG00000172575"	240	179	181	126	129	148
"ENSG00000172578"	17	26	27	22	16	15
"ENSG00000172586"	5033	5592	3734	4085	4322	3686
"ENSG00000172590"	22029	20290	14405	18852	17503	11129
"ENSG00000172594"	118	152	142	130	89	84
"ENSG00000172602"	2	7	22	16	0	12
"ENSG00000172613"	278	292	200	216	206	93
"ENSG00000172638"	89	65	63	68	44	23
"ENSG00000172650"	180	144	197	172	107	88
"ENSG00000172661"	433	543	260	398	392	226
"ENSG00000172663"	389	291	381	423	390	194
"ENSG00000172667"	142	159	69	138	117	77
"ENSG00000172671"	153	193	143	106	115	67
"ENSG00000172687"	313	333	287	168	288	164
"ENSG00000172689"	0	1	1	0	0	0
"ENSG00000172716"	1071	753	751	506	650	450
"ENSG00000172717"	19	31	19	31	34	25
"ENSG00000172725"	180	121	90	96	86	17
"ENSG00000172728"	286	237	202	171	228	137
"ENSG00000172731"	165	80	144	130	101	111
"ENSG00000172732"	344	453	306	184	288	145
"ENSG00000172733"	20	4	14	1	8	10
"ENSG00000172738"	23	28	61	77	88	155
"ENSG00000172742"	53	48	56	42	32	46
"ENSG00000172746"	2	1	1	0	0	0
"ENSG00000172748"	457	335	344	292	281	235
"ENSG00000172752"	0	3	9	3	0	9
"ENSG00000172757"	18203	13287	8620	16289	13227	8149
"ENSG00000172765"	170	162	74	124	135	89
"ENSG00000172766"	186	122	101	151	197	127
"ENSG00000172771"	40	49	28	35	45	29
"ENSG00000172775"	892	979	622	807	706	681
"ENSG00000172780"	57	25	49	61	5	25
"ENSG00000172782"	0	0	0	1	0	1
"ENSG00000172785"	3540	4116	1910	3470	3831	2847
"ENSG00000172789"	11	11	12	12	22	4
"ENSG00000172794"	16	0	0	1	1	0
"ENSG00000172795"	426	477	392	284	375	266
"ENSG00000172803"	21	3	5	5	5	1
"ENSG00000172809"	227550	287126	215741	201848	235574	251031
"ENSG00000172817"	3	0	1	0	2	0
"ENSG00000172818"	0	0	0	0	0	6
"ENSG00000172819"	26	35	21	36	35	9
"ENSG00000172824"	2	2	2	0	6	1
"ENSG00000172828"	91	83	73	60	66	30
"ENSG00000172830"	58	66	103	71	48	54
"ENSG00000172831"	141	123	139	124	138	52
"ENSG00000172840"	86	88	40	49	45	29
"ENSG00000172845"	493	634	402	245	388	272
"ENSG00000172869"	99	231	97	116	248	134
"ENSG00000172878"	115	111	123	69	70	76
"ENSG00000172888"	551	374	361	253	287	294
"ENSG00000172889"	554	128	182	417	133	60
"ENSG00000172890"	733	679	610	758	844	608
"ENSG00000172893"	3492	2731	1660	2660	2772	755
"ENSG00000172901"	0	1	0	1	0	1
"ENSG00000172912"	0	0	0	0	0	1
"ENSG00000172915"	207	196	127	119	157	84
"ENSG00000172922"	11942	10593	8231	9565	9016	5463
"ENSG00000172927"	3	2	0	0	0	0
"ENSG00000172932"	75	84	91	122	94	94
"ENSG00000172936"	162	135	39	204	85	106
"ENSG00000172939"	152	122	78	80	94	34
"ENSG00000172940"	0	1	0	0	0	0
"ENSG00000172943"	807	611	556	331	372	329
"ENSG00000172954"	891	583	606	463	517	419
"ENSG00000172955"	34	8	21	12	17	0
"ENSG00000172969"	1	4	1	4	0	0
"ENSG00000172974"	2	3	0	5	5	1
"ENSG00000172977"	692	664	496	902	703	185
"ENSG00000172985"	30	22	20	27	29	5
"ENSG00000172986"	25	19	21	15	17	24
"ENSG00000172987"	11	17	17	0	3	13
"ENSG00000172992"	705	803	648	349	591	382
"ENSG00000172995"	0	0	0	0	0	10
"ENSG00000173011"	163	128	75	119	109	65
"ENSG00000173013"	0	0	0	1	6	0
"ENSG00000173020"	171	135	92	77	57	27
"ENSG00000173039"	1061	1044	776	750	675	457
"ENSG00000173041"	161	163	89	132	177	95
"ENSG00000173064"	340	192	208	122	75	131
"ENSG00000173065"	464	296	261	338	155	164
"ENSG00000173068"	49	27	47	24	23	49
"ENSG00000173083"	116	66	81	91	36	62
"ENSG00000173085"	131	169	132	97	120	96
"ENSG00000173093"	0	22	0	0	0	6
"ENSG00000173110"	2	0	0	0	0	0
"ENSG00000173113"	26681	30457	16226	20829	21871	18974
"ENSG00000173114"	0	1	0	0	0	0
"ENSG00000173120"	510	395	286	396	427	243
"ENSG00000173124"	3	1	2	3	3	2
"ENSG00000173137"	2	4	2	13	4	0
"ENSG00000173141"	2550	1952	2132	2369	1632	922
"ENSG00000173145"	563	537	252	198	171	129
"ENSG00000173153"	297	472	239	191	219	182
"ENSG00000173157"	5	5	10	9	10	4
"ENSG00000173163"	911	961	751	795	828	721
"ENSG00000173166"	97	50	121	105	139	104
"ENSG00000173171"	3108	3041	2040	3386	3131	1915
"ENSG00000173175"	10	0	12	5	0	1
"ENSG00000173193"	7	0	3	11	1	2
"ENSG00000173198"	200	155	139	100	102	95
"ENSG00000173200"	433	430	439	288	267	306
"ENSG00000173207"	11879	15362	10192	10680	11963	12877
"ENSG00000173208"	3	1	1	0	2	0
"ENSG00000173209"	246	297	239	158	235	173
"ENSG00000173210"	0	22	11	0	0	26
"ENSG00000173212"	3858	2218	2081	1969	1559	1458
"ENSG00000173213"	52	38	38	62	42	22
"ENSG00000173214"	278	171	185	115	100	77
"ENSG00000173218"	314	277	208	269	188	107
"ENSG00000173221"	394	425	335	259	267	340
"ENSG00000173226"	949	937	965	684	633	698
"ENSG00000173227"	5	6	11	4	4	13
"ENSG00000173230"	1414	1176	859	979	743	615
"ENSG00000173250"	1	0	0	0	0	0
"ENSG00000173258"	180	153	110	138	176	137
"ENSG00000173261"	12	6	5	4	2	7
"ENSG00000173262"	10	4	1	1	0	0
"ENSG00000173264"	212	147	193	183	117	92
"ENSG00000173267"	14	26	56	13	24	15
"ENSG00000173269"	34	41	40	29	23	31
"ENSG00000173272"	1612	840	840	990	849	398
"ENSG00000173273"	295	218	334	151	137	115
"ENSG00000173275"	66	59	72	29	38	31
"ENSG00000173276"	754	613	681	289	181	211
"ENSG00000173281"	35	30	27	26	36	19
"ENSG00000173285"	35	19	14	16	18	7
"ENSG00000173295"	6	1	5	9	10	2
"ENSG00000173320"	40	30	12	14	29	20
"ENSG00000173327"	121	101	59	92	124	41
"ENSG00000173334"	69	106	86	84	104	65
"ENSG00000173335"	0	0	0	2	0	0
"ENSG00000173338"	8	0	18	8	6	8
"ENSG00000173349"	24	33	32	35	32	37
"ENSG00000173366"	1	1	0	0	0	0
"ENSG00000173376"	27	30	27	6	20	17
"ENSG00000173389"	8	0	0	0	0	0
"ENSG00000173401"	14	3	6	2	8	0
"ENSG00000173402"	1746	1389	1762	1796	1689	922
"ENSG00000173404"	8	11	18	3	0	5
"ENSG00000173406"	8	13	22	13	3	6
"ENSG00000173409"	927	769	616	757	688	581
"ENSG00000173418"	6707	7463	4715	6527	6426	4936
"ENSG00000173421"	0	0	1	0	0	0
"ENSG00000173436"	15687	19087	10045	14515	16711	14089
"ENSG00000173442"	7	0	0	0	9	9
"ENSG00000173451"	223	147	177	140	170	150
"ENSG00000173456"	551	421	262	548	415	225
"ENSG00000173457"	1073	1413	670	1095	1342	477
"ENSG00000173465"	4759	4390	3113	5272	4557	1866
"ENSG00000173467"	0	0	0	1	0	0
"ENSG00000173473"	637	543	477	430	407	321
"ENSG00000173480"	147	83	61	83	58	54
"ENSG00000173482"	68	75	96	34	35	78
"ENSG00000173486"	2869	2802	1898	2443	2065	1314
"ENSG00000173511"	69	134	134	115	78	73
"ENSG00000173517"	733	600	585	421	452	547
"ENSG00000173530"	512	303	119	327	333	102
"ENSG00000173531"	6	41	5	13	6	14
"ENSG00000173535"	19	6	16	10	3	4
"ENSG00000173540"	1110	791	606	875	814	362
"ENSG00000173542"	55	74	59	83	83	63
"ENSG00000173545"	306	221	136	185	153	91
"ENSG00000173546"	21	8	23	14	11	10
"ENSG00000173548"	64	42	46	34	33	24
"ENSG00000173559"	1526	1073	859	1236	1109	897
"ENSG00000173567"	25	36	36	14	23	34
"ENSG00000173575"	569	597	634	503	445	544
"ENSG00000173581"	103	117	48	61	51	29
"ENSG00000173585"	5	0	0	4	0	0
"ENSG00000173588"	308	347	175	114	116	65
"ENSG00000173597"	452	255	245	223	162	190
"ENSG00000173598"	558	751	280	367	523	401
"ENSG00000173599"	241	193	98	208	81	89
"ENSG00000173610"	1	0	3	6	0	0
"ENSG00000173611"	209	167	187	168	150	170
"ENSG00000173612"	0	2	0	0	10	4
"ENSG00000173614"	88	72	127	72	55	70
"ENSG00000173621"	62	71	37	75	47	23
"ENSG00000173626"	256	148	139	125	122	77
"ENSG00000173627"	1	0	0	0	0	1
"ENSG00000173638"	425	524	327	481	389	206
"ENSG00000173641"	12	0	15	1	6	0
"ENSG00000173653"	713	433	433	550	419	179
"ENSG00000173660"	88253	114032	75911	70927	86567	90206
"ENSG00000173662"	1	1	0	0	0	0
"ENSG00000173674"	4845	3899	2411	3637	3667	2042
"ENSG00000173678"	241	196	245	124	109	78
"ENSG00000173681"	49	42	77	27	51	25
"ENSG00000173692"	4111	3589	915	3165	2628	1146
"ENSG00000173698"	165	109	186	66	110	115
"ENSG00000173705"	126	166	89	149	132	112
"ENSG00000173706"	70	60	62	39	34	58
"ENSG00000173714"	0	0	0	0	4	0
"ENSG00000173715"	70	51	65	72	58	49
"ENSG00000173726"	5565	5449	4280	5151	5856	4430
"ENSG00000173727"	3	17	11	3	0	0
"ENSG00000173728"	9	16	3	7	0	1
"ENSG00000173744"	413	299	186	230	211	149
"ENSG00000173757"	475	627	523	231	301	380
"ENSG00000173762"	0	1	0	3	0	4
"ENSG00000173786"	750	564	418	520	478	190
"ENSG00000173801"	572	393	553	395	336	373
"ENSG00000173805"	44	37	27	5	11	11
"ENSG00000173809"	13	10	35	39	22	19
"ENSG00000173812"	34740	45737	62093	29038	31195	45519
"ENSG00000173818"	63	74	110	77	23	40
"ENSG00000173821"	335	301	312	253	151	134
"ENSG00000173825"	3	2	5	0	3	1
"ENSG00000173826"	5	5	13	5	9	5
"ENSG00000173838"	15	1	0	3	0	5
"ENSG00000173846"	94	70	42	44	53	35
"ENSG00000173848"	309	299	189	194	306	193
"ENSG00000173852"	828	1001	621	567	685	490
"ENSG00000173867"	68	75	83	63	108	52
"ENSG00000173868"	6	12	6	6	8	1
"ENSG00000173875"	192	152	109	193	234	163
"ENSG00000173889"	263	241	328	227	241	328
"ENSG00000173890"	61	83	62	59	58	73
"ENSG00000173894"	284	215	153	195	205	123
"ENSG00000173898"	192	134	134	152	181	153
"ENSG00000173905"	224	228	150	107	116	68
"ENSG00000173914"	482	475	300	178	165	173
"ENSG00000173915"	52270	62864	37198	46745	52087	55317
"ENSG00000173917"	50	41	46	33	41	31
"ENSG00000173918"	47	48	102	43	30	64
"ENSG00000173926"	71	88	31	52	67	33
"ENSG00000173928"	205	218	157	245	231	99
"ENSG00000173930"	18	21	19	28	21	7
"ENSG00000173933"	6480	6838	3888	5326	5477	4152
"ENSG00000173947"	2	7	3	10	9	4
